,CreditGrade,LoanStatus,ProsperScore,EmploymentStatus,StatedMonthlyIncome,MonthlyLoanPayment,LoanOriginalAmount,DebtToIncomeRatio,EstimatedLoss,diff_income_loan
5000,C,0,,Not available,3750.0,606.1,17000,0.51,,-13250.0
5001,,0,7.0,Employed,6500.0,282.0,7000,0.21,0.108,-500.0
5002,,0,4.0,Employed,1416.666667,401.52,10000,0.55,0.105,-8583.333333
5003,,0,7.0,Employed,4166.666667,188.35,5000,0.2,0.0849,-833.3333329999996
5004,,0,8.0,Employed,5666.666667,491.05,20000,0.19,0.038,-14333.333332999999
5005,A,0,,Not available,4416.666667,161.92,5000,0.07,,-583.3333329999996
5006,,0,8.0,Full-time,6000.0,234.71,8500,0.17,0.061,-2500.0
5007,,0,4.0,Employed,5000.0,173.71,4000,0.4,0.165,1000.0
5008,D,0,,Full-time,2500.0,154.84,4000,0.64,,-1500.0
5009,,0,7.0,Employed,4250.0,568.83,15000,0.37,0.089,-10750.0
5010,,0,9.0,Full-time,10000.0,99.7,3000,0.07,0.021,7000.0
5011,C,0,,Full-time,4495.666667,463.34,11500,0.26,,-7004.333333
5012,,0,7.0,Employed,1890.0,291.64,10000,,0.089,-8110.0
5013,,0,6.0,Employed,6250.0,218.33,5000,,0.142,1250.0
5014,AA,0,,Full-time,4250.0,415.98,12000,0.1,,-7750.0
5015,,0,5.0,Full-time,3500.0,45.24,1000,0.15,0.18,2500.0
5016,,0,5.0,Other,5000.0,241.46,7016,,0.042,-2016.0
5017,B,0,,Full-time,5583.333333,128.88,4000,0.14,,1583.3333329999996
5018,,0,5.0,Employed,5458.333333,173.71,4000,0.13,0.165,1458.3333329999996
5019,AA,0,,Full-time,1250.0,327.86,10000,0.56,,-8750.0
5020,HR,0,,Not available,6250.0,83.81,2000,0.11,,4250.0
5021,HR,0,,Full-time,4833.333333,62.86,1500,0.09,,3333.3333329999996
5022,D,0,,Full-time,6142.916667,134.12,3500,0.29,,2642.9166670000004
5023,C,0,,Self-employed,6666.666667,123.92,3500,0.28,,3166.6666670000004
5024,E,0,,Full-time,2666.666667,199.46,5000,0.18,,-2333.333333
5025,C,0,,Full-time,9166.666667,190.95,5000,0.03,,4166.6666669999995
5026,,0,9.0,Employed,7916.666667,321.45,10000,0.12,0.0249,-2083.3333329999996
5027,,0,3.0,Employed,4833.333333,174.2,4000,0.15,0.165,833.3333329999996
5028,B,0,,Full-time,5833.333333,520.29,14000,0.34,,-8166.666667
5029,D,0,,Self-employed,2780.0,73.43,1900,,,880.0
5030,,0,7.0,Employed,4166.666667,344.35,13000,0.35,0.061,-8833.333332999999
5031,HR,0,,,3750.0,41.91,1000,0.33,,2750.0
5032,AA,0,,Full-time,4583.333333,294.44,9000,0.23,,-4416.666667
5033,D,0,,Full-time,6000.0,43.55,1000,0.15,,5000.0
5034,AA,0,,Full-time,5833.333333,238.15,7500,0.23,,-1666.6666670000004
5035,D,0,,Full-time,2800.0,213.87,5600,0.24,,-2800.0
5036,,0,6.0,Employed,4226.75,456.6,15000,0.25,0.1025,-10773.25
5037,,0,7.0,Full-time,3333.333333,161.87,4000,0.16,0.1,-666.666667
5038,D,0,,Not available,5833.333333,353.1,9000,0.15,,-3166.6666670000004
5039,HR,0,,Full-time,5150.0,205.34,4900,0.21,,250.0
5040,HR,0,,Not available,4333.333333,38.45,1000,0.2,,3333.3333329999996
5041,,0,6.0,Other,10000.0,136.98,4000,0.03,0.147,6000.0
5042,,0,9.0,Retired,1000.0,55.67,1500,0.54,0.065,-500.0
5043,,0,4.0,Employed,3500.0,324.54,7500,0.37,0.147,-4000.0
5044,B,0,,Self-employed,20833.333333000002,210.2,6000,0.25,,14833.333333000002
5045,,0,3.0,Employed,3750.0,572.78,15000,0.25,0.0925,-11250.0
5046,HR,0,,Full-time,2200.0,59.94,2000,0.08,,200.0
5047,,0,9.0,Employed,6250.0,390.21,11000,0.18,0.0595,-4750.0
5048,,0,4.0,Self-employed,18333.333333000002,173.71,4000,,0.165,14333.333333000002
5049,,0,3.0,Self-employed,11666.666667,173.71,4000,,0.165,7666.6666669999995
5050,A,0,,Full-time,6666.666667,889.45,25000,0.28,,-18333.333333
5051,C,0,,Full-time,2784.416667,274.63,7000,0.26,,-4215.5833330000005
5052,,0,1.0,Employed,6750.0,171.98,4000,0.06,0.149,2750.0
5053,,0,7.0,Full-time,2250.0,126.66,2800,0.37,0.147,-550.0
5054,HR,0,,Full-time,5000.0,44.95,1000,0.11,,4000.0
5055,B,0,,Full-time,4232.833333,534.79,15000,0.21,,-10767.166667000001
5056,C,0,,Full-time,2500.0,91.39,2500,0.08,,0.0
5057,,0,8.0,Employed,4583.333333,363.1,15000,0.2,0.0499,-10416.666667000001
5058,D,0,,Full-time,2333.333333,141.62,4000,0.13,,-1666.666667
5059,HR,0,,Full-time,3666.666667,38.71,1000,0.12,,2666.666667
5060,C,0,,Not available,4700.0,296.91,8100,0.42,,-3400.0
5061,HR,0,,Full-time,2773.333333,65.82,1500,0.19,,1273.333333
5062,,0,8.0,Full-time,7667.0,204.8,5000,0.08,0.1,2667.0
5063,B,0,,Full-time,17083.333333000002,843.09,23000,0.2,,-5916.666666999998
5064,HR,0,,Full-time,2666.666667,101.31,2500,0.04,,166.66666699999996
5065,HR,0,,Full-time,4583.333333,208.01,4900,0.15,,-316.6666670000004
5066,C,0,,Full-time,5416.666667,359.02,10000,0.17,,-4583.333333
5067,,0,3.0,Self-employed,3750.0,136.98,4000,,0.149,-250.0
5068,,0,8.0,Employed,6666.666667,620.51,25000,0.32,0.0424,-18333.333333
5069,,0,7.0,Employed,3750.0,410.47,12934,0.26,0.108,-9184.0
5070,A,0,,Not available,1750.0,166.07,5000,,,-3250.0
5071,,0,7.0,Employed,3000.0,80.22,2000,0.11,0.1175,1000.0
5072,C,0,,Full-time,4583.333333,620.45,15000,0.2,,-10416.666667000001
5073,C,0,,Full-time,5000.0,520.17,14900,0.23,,-9900.0
5074,A,0,,Full-time,8308.333333,164.76,5000,0.24,,3308.3333330000005
5075,HR,0,,Full-time,6666.666667,163.3,4000,0.26,,2666.6666670000004
5076,D,0,,Full-time,2666.666667,100.06,2500,0.1,,166.66666699999996
5077,E,0,,Full-time,5666.666667,77.03,1990,0.29,,3676.6666670000004
5078,,0,5.0,Other,406.5,197.53,5000,0.6,0.119,-4593.5
5079,D,0,,Part-time,506.666667,37.52,1000,0.65,,-493.333333
5080,D,0,,Full-time,3333.25,106.99,3001,0.1,,332.25
5081,D,0,,Full-time,3422.333333,68.36,2000,0.2,,1422.333333
5082,C,0,,Full-time,5833.333333,371.6,9999,0.19,,-4165.666667
5083,,0,8.0,Employed,4533.333333,210.91,6000,0.67,0.0595,-1466.6666670000004
5084,B,0,,Full-time,1500.0,131.05,4000,0.13,,-2500.0
5085,C,0,,Full-time,3833.333333,284.3,7500,0.09,,-3666.666667
5086,,0,4.0,Employed,3333.333333,108.57,2500,0.32,0.165,833.333333
5087,,0,4.0,Employed,3333.333333,173.71,4000,0.34,0.1625,-666.666667
5088,HR,0,,Full-time,2210.833333,91.03,2500,0.05,,-289.16666699999996
5089,C,0,,Not available,2000.0,181.52,5000,0.49,,-3000.0
5090,,0,4.0,Employed,2383.333333,261.29,6000,0.14,0.147,-3616.666667
5091,C,0,,Not available,1280.0,70.17,2000,0.13,,-720.0
5092,E,0,,Full-time,8000.0,206.82,5000,0.19,,3000.0
5093,C,0,,Full-time,4000.0,315.3,9000,0.17,,-5000.0
5094,D,0,,Full-time,4083.333333,125.72,3000,0.58,,1083.333333
5095,D,0,,Full-time,7250.0,147.59,4300,0.4,,2950.0
5096,,0,7.0,Retired,2750.0,177.17,5000,0.17,0.052,-2250.0
5097,,0,5.0,Full-time,10083.333333,139.28,3300,0.11,0.18,6783.3333330000005
5098,,0,5.0,Employed,5679.916667,371.4,13500,0.41,0.0624,-7820.083333
5099,HR,0,,,2083.333333,74.93,2500,0.06,,-416.66666699999996
5100,,0,7.0,Employed,5416.666667,271.25,7250,0.18,0.089,-1833.3333329999996
5101,,0,6.0,Employed,12666.666667,305.48,8000,0.13,0.0925,4666.6666669999995
5102,,0,8.0,Employed,5000.0,601.46,25000,0.3,0.033,-20000.0
5103,,0,4.0,Employed,4066.666667,241.41,9000,0.31,0.0724,-4933.3333330000005
5104,HR,0,,Part-time,1750.0,76.9,1700,0.45,,50.0
5105,,0,1.0,Employed,2833.333333,86.28,2000,,0.17,833.333333
5106,E,0,,Full-time,3333.333333,77.42,2000,0.32,,1333.333333
5107,,0,8.0,Full-time,6343.0,501.58,14500,0.26,0.05,-8157.0
5108,,0,7.0,Employed,5000.0,98.88,2625,0.11,0.089,2375.0
5109,,0,6.0,Employed,3500.0,408.2,10000,0.12,0.112,-6500.0
5110,,0,9.0,Employed,6916.666667,138.64,4000,0.14,0.0595,2916.6666670000004
5111,D,0,,Full-time,5416.666667,271.42,6000,0.29,,-583.3333329999996
5112,D,0,,Part-time,1361.833333,251.61,6500,0.3,,-5138.1666669999995
5113,E,0,,Not available,6250.0,419.06,10000,0.18,,-3750.0
5114,C,0,,Full-time,4000.0,271.42,6000,0.08,,-2000.0
5115,E,0,,Not available,5083.333333,125.72,3000,0.15,,2083.3333329999996
5116,D,0,,,8750.0,195.51,5000,0.17,,3750.0
5117,C,0,,Full-time,4166.666667,258.01,7000,0.67,,-2833.3333329999996
5118,,0,7.0,Employed,1666.666667,139.01,3500,0.08,0.1125,-1833.333333
5119,,0,8.0,Employed,9333.333333,564.87,25000,0.23,0.0374,-15666.666667
5120,,0,1.0,Employed,8583.333333,174.2,4000,0.34,0.203,4583.3333330000005
5121,,0,8.0,Part-time,5416.666667,173.89,3995,0.23,0.147,1421.6666670000004
5122,,0,9.0,Employed,5775.0,326.17,13000,0.17,0.038,-7225.0
5123,,0,6.0,Employed,10833.333333,102.05,2500,0.1,0.108,8333.333333
5124,,0,4.0,Employed,2083.333333,126.08,3500,0.23,0.0649,-1416.666667
5125,,0,8.0,Retired,4583.333333,100.73,2500,0.22,0.1,2083.3333329999996
5126,,0,4.0,Employed,1450.0,108.87,2500,0.7,0.183,-1050.0
5127,D,0,,Full-time,5000.0,92.91,2500,0.02,,2500.0
5128,E,0,,Full-time,2166.666667,54.28,1200,0.34,,966.666667
5129,,0,5.0,Employed,5416.666667,401.52,10000,0.39,0.105,-4583.333333
5130,,0,6.0,Employed,11250.0,476.04,15000,0.06,0.108,-3750.0
5131,E,0,,Full-time,3000.0,81.2,2200,0.05,,800.0
5132,HR,0,,Not available,5000.0,45.74,1200,0.09,,3800.0
5133,B,0,,Full-time,7083.333333,232.55,6500,0.12,,583.3333329999996
5134,,0,8.0,Employed,16666.666666999998,476.93,15000,0.23,0.02,1666.6666669999977
5135,,0,4.0,Employed,1250.0,207.66,4799,0.21,0.147,-3549.0
5136,HR,0,,,7083.333333,124.09,3000,0.07,,4083.3333329999996
5137,E,0,,Full-time,4666.666667,104.76,2500,0.19,,2166.6666670000004
5138,,0,7.0,Self-employed,8000.0,246.85,6000,,0.1,2000.0
5139,,0,8.0,Employed,1666.666667,190.74,8000,0.19,0.02,-6333.3333330000005
5140,,0,5.0,Employed,2666.666667,86.85,2000,0.26,0.165,666.666667
5141,E,0,,Not available,5656.25,199.86,5000,0.12,,656.25
5142,,0,1.0,Self-employed,16666.666666999998,169.78,4000,,0.149,12666.666666999998
5143,,0,2.0,Employed,3000.0,84.89,2000,0.24,0.149,1000.0
5144,,0,7.0,Full-time,2750.0,61.63,1500,0.19,0.1,1250.0
5145,B,0,,Full-time,4000.0,612.38,15000,0.29,,-11000.0
5146,,0,5.0,Employed,2666.666667,367.38,9000,0.35,0.112,-6333.3333330000005
5147,,0,1.0,Full-time,5833.333333,87.11,2000,,0.345,3833.3333329999996
5148,A,0,,Full-time,6634.333333,845.36,25000,0.26,,-18365.666667
5149,D,0,,Full-time,2916.666667,84.9,2000,0.18,,916.666667
5150,,0,5.0,Self-employed,3916.666667,173.71,4000,,0.165,-83.33333300000004
5151,,0,8.0,Self-employed,3750.0,192.38,5000,,0.08,-1250.0
5152,E,0,,Full-time,5750.0,64.17,1800,0.38,,3950.0
5153,,0,6.0,Employed,3083.333333,163.28,4000,0.11,0.108,-916.666667
5154,A,0,,Full-time,2750.0,402.14,10250,0.17,,-7500.0
5155,,0,6.0,Employed,12916.666667,297.97,9125,0.23,0.112,3791.6666669999995
5156,A,0,,Full-time,3800.0,31.14,1000,0.23,,2800.0
5157,C,0,,Full-time,4800.0,315.53,9000,0.15,,-4200.0
5158,E,0,,Full-time,3100.0,135.45,3000,0.55,,100.0
5159,,0,7.0,Full-time,5416.666667,168.66,4200,0.18,0.098,1216.6666670000004
5160,HR,0,,Not available,2340.0,64.95,1550,0.04,,790.0
5161,,0,4.0,Employed,5166.666667,173.71,4000,0.42,0.165,1166.6666670000004
5162,B,0,,Self-employed,20833.333333000002,566.9,15000,0.11,,5833.333333000002
5163,E,0,,Full-time,1860.0,43.0,1000,0.54,,860.0
5164,D,0,,Not available,6500.0,198.8,5000,0.25,,1500.0
5165,B,0,,Full-time,1250.0,176.4,5000,0.31,,-3750.0
5166,,0,,Full-time,5869.0,61.24,1500,0.1,,4369.0
5167,,0,4.0,Employed,1920.9166670000002,87.1,2000,0.41,0.147,-79.08333299999981
5168,AA,0,,Self-employed,8750.0,301.04,9000,,,-250.0
5169,,0,6.0,Employed,3333.333333,380.73,13000,0.44,0.089,-9666.666667
5170,,0,6.0,Employed,4166.666667,160.33,4000,0.18,0.112,166.66666700000042
5171,D,0,,Full-time,9166.666667,220.98,5000,0.17,,4166.6666669999995
5172,C,0,,Full-time,5229.166667,143.83,3500,0.29,,1729.1666670000004
5173,E,0,,,1266.666667,113.56,2800,0.2,,-1533.333333
5174,,0,8.0,Full-time,3750.0,204.8,5000,0.24,0.1,-1250.0
5175,E,0,,Not available,10416.666667,115.82,2800,0.04,,7616.6666669999995
5176,,0,3.0,Employed,2194.0,85.44,2000,0.5,0.24,194.0
5177,C,0,,Full-time,4536.166667,93.23,2500,0.02,,2036.1666670000004
5178,,0,5.0,Employed,4666.666667,422.94,13327,0.15,0.112,-8660.333332999999
5179,B,0,,Full-time,2083.333333,212.43,6000,0.15,,-3916.666667
5180,E,0,,Full-time,5416.666667,108.95,2600,0.07,,2816.6666670000004
5181,,0,9.0,Full-time,5708.333333,40.98,1200,0.26,0.065,4508.333333
5182,,0,8.0,Employed,5833.333333,210.89,5000,0.17,0.108,833.3333329999996
5183,,0,5.0,Full-time,18916.666666999998,226.18,5000,0.22,0.18,13916.666666999998
5184,C,0,,Full-time,3504.916667,458.29,12000,0.21,,-8495.083333
5185,HR,0,,Full-time,2916.666667,79.52,2000,0.45,,916.666667
5186,E,0,,Full-time,3916.666667,309.68,8000,0.36,,-4083.333333
5187,A,0,,Full-time,4333.333333,341.73,10000,0.27,,-5666.666667
5188,B,0,,Full-time,7380.166667,422.13,11500,0.24,,-4119.833333
5189,B,0,,,4583.333333,468.35,14000,0.2,,-9416.666667000001
5190,B,0,,Full-time,3250.0,178.44,5000,0.27,,-1750.0
5191,E,0,,Not available,2916.666667,83.81,2000,0.11,,916.666667
5192,,0,4.0,Full-time,2400.0,173.71,4000,0.07,0.165,-1600.0
5193,,0,8.0,Employed,4750.0,261.11,11000,0.06,0.038,-6250.0
5194,HR,0,,Full-time,2916.666667,84.93,1950,0.24,,966.666667
5195,,0,6.0,Employed,4500.0,274.19,7800,0.1,0.0549,-3300.0
5196,D,0,,Full-time,2500.0,362.81,9500,0.2,,-7000.0
5197,,0,5.0,Employed,2500.0,160.94,6000,0.42,0.0724,-3500.0
5198,,0,7.0,Employed,8083.333333,285.74,7000,0.16,0.108,1083.3333329999996
5199,AA,0,,Full-time,4850.0,913.47,24000,0.23,,-19150.0
5200,E,0,,Not available,3416.666667,106.86,2550,0.13,,866.666667
5201,,0,6.0,Employed,3500.0,168.32,4000,0.15,0.1425,-500.0
5202,E,0,,Full-time,11331.5,315.89,8500,0.28,,2831.5
5203,,0,6.0,Self-employed,2500.0,220.92,7000,,0.119,-4500.0
5204,C,0,,Part-time,416.666667,132.32,3000,2.6,,-2583.333333
5205,,0,8.0,Other,2083.333333,96.79,3000,,0.033,-916.666667
5206,D,0,,Full-time,2655.5,44.31,1000,0.27,,1655.5
5207,,0,1.0,Employed,5416.666667,169.78,4000,0.26,0.149,1416.6666670000004
5208,E,0,,Full-time,4000.0,154.84,4000,0.05,,0.0
5209,,0,6.0,Other,2705.0,68.49,2000,0.18,0.147,705.0
5210,D,0,,Retired,1916.6666670000002,113.09,2500,0.31,,-583.3333329999998
5211,,0,4.0,Employed,2083.333333,87.1,2000,0.31,0.147,83.33333300000004
5212,,0,5.0,Employed,5750.0,436.17,13357,0.45,0.112,-7607.0
5213,A,0,,Full-time,3750.0,261.22,7000,0.22,,-3250.0
5214,,0,5.0,Self-employed,3000.0,324.54,7500,,0.147,-4500.0
5215,HR,0,,Not available,4750.0,112.88,3001,0.02,,1749.0
5216,,0,6.0,Full-time,5500.0,107.5,2500,0.17,0.14,3000.0
5217,,0,,Not available,1820.0,111.68,2700,,,-880.0
5218,,0,8.0,Employed,2500.0,277.91,8000,0.2,0.0595,-5500.0
5219,B,0,,Full-time,2500.0,32.74,1000,0.11,,1500.0
5220,E,0,,,3000.0,117.31,3000,0.26,,0.0
5221,E,0,,Full-time,6666.666667,146.67,3500,0.09,,3166.6666670000004
5222,,0,5.0,Full-time,5416.666667,289.81,7500,0.33,0.099,-2083.3333329999996
5223,E,0,,Not available,6859.25,63.18,1700,0.15,,5159.25
5224,,0,7.0,Employed,6666.666667,398.18,10000,0.15,0.112,-3333.3333329999996
5225,,0,10.0,Full-time,6500.0,90.38,2500,0.18,0.021,4000.0
5226,,0,3.0,Employed,2833.333333,151.99,3500,0.18,0.1675,-666.666667
5227,HR,0,,,10000.0,78.2,2000,0.09202,,8000.0
5228,B,0,,Full-time,4333.333333,162.51,5000,0.19,,-666.6666670000004
5229,,0,4.0,Employed,4333.333333,173.71,4000,0.04,0.165,333.3333329999996
5230,,0,5.0,Employed,2083.333333,408.2,10000,,0.112,-7916.6666669999995
5231,D,0,,Full-time,250.0,135.71,3000,0.54,,-2750.0
5232,,0,9.0,Employed,3400.0,238.9,7000,0.13,0.038,-3600.0
5233,C,0,,Full-time,3500.0,180.76,5000,0.27,,-1500.0
5234,,0,6.0,Employed,4416.666667,148.9,5000,0.27,0.0925,-583.3333329999996
5235,D,0,,Not available,3232.666667,273.03,7500,0.36,,-4267.3333330000005
5236,,0,7.0,Full-time,3466.666667,80.85,2000,0.04,0.1,1466.666667
5237,,0,6.0,Employed,4333.333333,188.35,5000,0.29,0.0849,-666.6666670000004
5238,,0,4.0,Employed,5215.0,326.62,7500,0.13,0.147,-2285.0
5239,,0,6.0,Employed,3073.333333,168.89,4000,0.29,0.147,-926.666667
5240,D,0,,Full-time,5500.0,47.22,1200,0.14,,4300.0
5241,HR,0,,Full-time,3000.0,167.62,4000,0.06,,-1000.0
5242,,0,8.0,Employed,3958.333333,300.79,11500,0.28,0.0549,-7541.6666669999995
5243,D,0,,Full-time,4358.333333,364.79,10000,0.25,,-5641.666667
5244,,0,5.0,Employed,2948.333333,326.62,7500,0.59,0.147,-4551.6666669999995
5245,D,0,,Not available,2583.333333,315.97,8000,0.12,,-5416.6666669999995
5246,B,0,,Not available,3506.666667,350.24,10000,0.7,,-6493.3333330000005
5247,,0,6.0,Self-employed,3570.0,168.89,4000,,0.147,-430.0
5248,,0,1.0,Self-employed,1666.666667,174.2,4000,,0.165,-2333.333333
5249,B,0,,Full-time,3000.0,527.36,15000,0.5,,-12000.0
5250,AA,0,,Full-time,6000.0,286.15,8500,0.45,,-2500.0
5251,D,0,,Full-time,2500.0,171.62,5000,0.24,,-2500.0
5252,E,0,,Full-time,1708.3333329999998,45.24,1000,0.57,,708.3333329999998
5253,,0,3.0,Employed,4045.833333,147.77,3393,0.3,0.203,652.833333
5254,,0,8.0,Employed,2000.0,279.27,11000,0.16,0.0595,-9000.0
5255,,0,4.0,Employed,7583.333333,173.71,4000,0.18,0.1725,3583.3333329999996
5256,D,0,,Full-time,4833.333333,147.57,3800,0.1,,1033.3333329999996
5257,,0,4.0,Employed,3625.0,160.61,4000,0.25,0.105,-375.0
5258,B,0,,Full-time,24583.333333000002,929.09,25000,0.3,,-416.6666669999977
5259,C,0,,Full-time,4333.333333,97.09,2500,0.04,,1833.3333329999996
5260,,0,6.0,Employed,5000.0,402.85,10000,0.38,0.112,-5000.0
5261,D,0,,,133.333333,116.44,2550,5.5608,,-2416.666667
5262,,0,4.0,Employed,6893.666667,379.33,13500,0.26,0.0874,-6606.333333
5263,HR,0,,Full-time,2416.666667,54.28,1200,0.27,,1216.666667
5264,A,0,,Full-time,4166.666667,263.81,8000,0.25,,-3833.3333329999996
5265,,0,6.0,Employed,3250.0,161.1,3999,,0.108,-749.0
5266,,0,4.0,Employed,3000.0,326.62,7500,0.96,0.147,-4500.0
5267,,0,2.0,Retired,2083.333333,365.25,10000,0.48,0.065,-7916.6666669999995
5268,,0,3.0,Employed,8333.333333,612.29,21605,0.14,0.0724,-13271.666667
5269,HR,0,,Full-time,4333.333333,45.24,1000,0.26,,3333.3333329999996
5270,B,0,,Self-employed,3166.666667,346.65,10000,,,-6833.3333330000005
5271,D,0,,Full-time,5166.666667,125.72,3000,0.12,,2166.6666670000004
5272,,0,6.0,Employed,3916.666667,163.28,4000,0.22,0.112,-83.33333300000004
5273,AA,0,,Full-time,15416.666667,828.57,25000,0.07,,-9583.333333
5274,B,0,,Full-time,7583.333333,101.08,3000,0.13,,4583.333333
5275,D,0,,Full-time,6416.666667,255.01,6500,0.24,,-83.33333299999958
5276,,0,6.0,Full-time,1666.666667,132.33,3000,0.19,0.14,-1333.333333
5277,,0,7.0,Full-time,2791.666667,116.91,3000,0.1,0.1,-208.33333300000004
5278,HR,0,,Not available,5833.333333,96.77,2500,0.14,,3333.3333329999996
5279,,0,6.0,Full-time,6552.0,157.04,3500,0.14,0.142,3052.0
5280,,0,8.0,Full-time,3500.0,118.59,3500,0.22,0.0495,0.0
5281,,0,9.0,Full-time,3333.333333,127.57,4000,0.16,0.021,-666.666667
5282,,0,8.0,Employed,4750.0,137.66,4000,0.08,0.0565,750.0
5283,,0,6.0,Employed,2916.666667,173.71,4000,0.25,0.1625,-1083.333333
5284,,0,7.0,Employed,3750.0,149.65,4000,0.19,0.089,-250.0
5285,E,0,,Full-time,6330.166667,249.92,6500,0.21,,-169.83333299999958
5286,D,0,,Full-time,4000.0,274.59,8000,0.1,,-4000.0
5287,,0,8.0,Employed,4666.666667,82.19,2000,0.15,0.108,2666.6666670000004
5288,C,0,,Not available,6250.0,359.02,10000,0.27,,-3750.0
5289,,0,2.0,Employed,3000.0,165.15,4000,0.25,0.1325,-1000.0
5290,C,0,,Not available,7416.666667,758.03,20000,0.27,,-12583.333332999999
5291,,0,3.0,Employed,6500.0,174.2,4000,0.17,0.203,2500.0
5292,E,0,,Not available,4042.583333,125.04,3274,0.18,,768.583333
5293,A,0,,Full-time,6666.666667,501.8,15000,0.33,,-8333.333332999999
5294,D,0,,Self-employed,4966.666667,262.65,7000,0.27,,-2033.3333329999996
5295,AA,0,,Full-time,2500.0,512.66,15000,0.22,,-12500.0
5296,D,0,,Full-time,5574.0,189.66,5000,0.36,,574.0
5297,,0,5.0,Employed,5000.0,200.76,5000,,0.105,0.0
5298,C,0,,Full-time,3166.666667,273.59,7500,0.31,,-4333.3333330000005
5299,,0,9.0,Employed,6250.0,481.17,20000,0.2,0.033,-13750.0
5300,HR,0,,Part-time,1166.666667,193.6,6000,0.17,,-4833.3333330000005
5301,HR,0,,Full-time,3333.333333,130.66,3000,0.61,,333.33333300000004
5302,E,0,,Full-time,2500.0,117.9,3001,0.08,,-501.0
5303,D,0,,Full-time,3125.0,224.51,6000,0.49,,-2875.0
5304,,0,9.0,Retired,58.333332999999996,31.89,1000,2.79,0.021,-941.666667
5305,,0,7.0,Employed,2500.0,87.86,3000,0.12,0.089,-500.0
5306,D,0,,Full-time,2240.0,97.74,2551,0.52,,-311.0
5307,,0,7.0,Full-time,10000.0,101.06,2500,0.18,0.1,7500.0
5308,,0,4.0,Employed,4000.0,324.54,7500,,0.147,-3500.0
5309,,0,7.0,Employed,4208.333333,113.77,3000,0.12,0.089,1208.3333329999996
5310,B,0,,Full-time,5833.333333,318.02,9200,0.44,,-3366.6666670000004
5311,D,0,,Not available,3250.0,52.0,1500,0.46,,1750.0
5312,,0,8.0,Employed,2000.0,71.98,2000,0.05,0.0565,0.0
5313,,0,7.0,Employed,3333.333333,145.82,5000,0.27,0.089,-1666.666667
5314,D,0,,Full-time,4250.0,336.37,9800,0.27,,-5550.0
5315,,0,3.0,Employed,6666.666667,173.71,4000,0.15,0.165,2666.6666670000004
5316,HR,0,,Self-employed,5833.333333,116.48,2575,0.3,,3258.3333329999996
5317,C,0,,Not available,4083.333333,133.67,3500,,,583.333333
5318,,0,6.0,Employed,1416.666667,204.1,5000,0.17,0.108,-3583.333333
5319,B,0,,Full-time,8166.666667,713.05,20000,0.2,,-11833.333332999999
5320,E,0,,Full-time,4025.0,188.58,4500,0.33,,-475.0
5321,,0,6.0,Full-time,5083.333333,316.65,7000,0.34,0.14,-1916.6666670000004
5322,A,0,,Full-time,6791.416667,314.61,9750,0.2,,-2958.5833329999996
5323,,0,3.0,Employed,3536.0,453.58,12000,0.37,0.0874,-8464.0
5324,,0,2.0,Employed,1750.0,172.76,4000,0.6,0.1575,-2250.0
5325,E,0,,Not available,7000.0,412.29,10000,0.08,,-3000.0
5326,C,0,,Full-time,2750.0,140.53,4000,0.05,,-1250.0
5327,HR,0,,,5916.666667,55.48,1400,0.01,,4516.666667
5328,,0,5.0,Employed,6250.0,540.33,15000,0.33,0.0649,-8750.0
5329,,0,9.0,Other,2665.0,83.87,2500,0.11,0.033,165.0
5330,C,0,,Self-employed,16813.5,604.36,15000,0.21,,1813.5
5331,HR,0,,Not available,3708.333333,84.7,2200,0.02,,1508.333333
5332,,0,8.0,Employed,5833.333333,344.16,10000,0.08,0.0595,-4166.666667
5333,,0,6.0,Full-time,2083.333333,45.24,1000,0.12,0.14,1083.333333
5334,,0,6.0,Employed,6916.666667,476.04,15000,0.15,0.108,-8083.333333
5335,E,0,,Not available,3333.333333,146.67,3500,0.29,,-166.66666699999996
5336,,0,5.0,Other,5000.0,173.71,4000,0.19,0.1675,1000.0
5337,,0,9.0,Employed,5000.0,548.46,17000,0.22,0.038,-12000.0
5338,,0,8.0,Other,2250.0,372.71,15000,0.36,0.0595,-12750.0
5339,B,0,,Self-employed,6250.0,142.16,3500,,,2750.0
5340,E,0,,Part-time,2250.0,226.18,5000,0.5,,-2750.0
5341,C,0,,Full-time,3906.0,311.99,9000,0.23,,-5094.0
5342,,0,6.0,Other,2500.0,95.46,2500,0.8,0.0925,0.0
5343,C,0,,,4500.0,366.56,10000,0.23,,-5500.0
5344,,0,1.0,Self-employed,7416.666667,173.71,4000,,0.165,3416.6666670000004
5345,,0,8.0,Employed,15000.0,423.13,12000,0.18,0.0595,3000.0
5346,,0,5.0,Employed,4533.333333,84.88,2000,0.24,0.142,2533.3333329999996
5347,HR,0,,Full-time,2648.5,39.1,1000,0.05,,1648.5
5348,,0,5.0,Employed,4166.666667,870.73,9500,0.51,0.0975,-5333.333333
5349,HR,0,,,5000.0,97.75,2500,0.1,,2500.0
5350,HR,0,,Not available,2426.666667,104.76,2500,0.17,,-73.33333300000004
5351,HR,0,,Not available,3076.666667,99.83,2800,0.04,,276.66666699999996
5352,C,0,,Retired,1653.5,199.25,5500,0.26,,-3846.5
5353,,0,4.0,Employed,2500.0,274.59,7000,1.37,0.1,-4500.0
