,CreditGrade,LoanStatus,ProsperScore,EmploymentStatus,StatedMonthlyIncome,MonthlyLoanPayment,LoanOriginalAmount,DebtToIncomeRatio,EstimatedLoss
15689,,Completed,8.0,Employed,7690.583333,259.62,7500,0.22,0.0595
15690,,Completed,8.0,Other,1755.0,160.73,5000,0.14,0.0249
15692,,Completed,7.0,Full-time,4166.666667,185.26,2000,0.05,0.098
15696,,Completed,2.0,Employed,5100.0,169.36,3900,,0.165
15698,,Completed,9.0,Employed,6159.75,112.51,3500,0.03,0.0249
15700,A,Completed,,Not employed,0.0,84.38,2500,,
15702,C,Completed,,Full-time,5900.0,64.96,2000,0.15,
15704,,Completed,6.0,Employed,5416.666667,89.74,2000,0.27,0.142
15709,D,Chargedoff,,Retired,1741.0,102.75,3000,0.12,
15710,,Completed,10.0,Employed,6666.666667,343.62,4000,0.11,0.0135
15711,A,Completed,,Full-time,5800.0,555.55,16500,0.3,
15712,C,Chargedoff,,Full-time,4300.583333,278.73,7500,0.36,
15714,B,Completed,,Not available,4000.0,54.77,1700,0.13,
15717,,Completed,9.0,Employed,7500.0,234.85,7000,0.16,0.033
15719,E,Completed,,Not available,0.0,58.85,1500,,
15721,B,Chargedoff,,Self-employed,5416.666667,107.46,3100,,
15724,,Chargedoff,2.0,Employed,3791.666667,173.71,4000,0.25,0.165
15727,C,Chargedoff,,Not available,8000.0,165.15,4800,0.43,
15734,,Completed,7.0,Full-time,2666.666667,97.02,2400,0.3,0.1
15736,D,Completed,,Full-time,3655.166667,588.49,15000,0.46,
15737,AA,Completed,,Full-time,3433.583333,487.89,15000,0.25,
15738,E,Completed,,Full-time,1687.5833329999998,42.78,1000,0.06,
15741,AA,Completed,,,7183.333333,800.82,25000,0.08,
15745,A,Completed,,Not available,11666.666667,836.34,25000,0.39,
15746,HR,Chargedoff,,Not available,3045.333333,46.1,1100,0.02,
15747,C,Completed,,Full-time,7916.666667,103.26,3000,0.25,
15749,D,Chargedoff,,Full-time,2394.083333,182.62,5000,0.19,
15751,E,Chargedoff,,Full-time,4439.0,117.61,2600,0.34,
15755,C,Completed,,Full-time,6166.666667,185.51,7500,0.09,
15757,A,Chargedoff,,Self-employed,2166.666667,459.47,12000,0.25,
15759,B,Completed,,Full-time,3583.333333,502.88,15000,0.27,
15762,HR,Completed,,Full-time,10000.0,45.24,1000,0.07,
15766,,Chargedoff,5.0,Not employed,0.0,135.0,4500,,0.099
15768,,Completed,9.0,Employed,6666.666667,96.44,3000,0.07,0.0249
15770,B,Completed,,Full-time,3750.0,170.77,5000,0.33,
15773,,Completed,6.0,Employed,2416.666667,183.69,4500,0.28,0.112
15774,,Completed,2.0,Employed,7500.0,163.56,4000,0.2,0.1275
15775,,Chargedoff,2.0,Self-employed,16666.666666999998,173.71,4000,,0.1625
15777,HR,Chargedoff,,Full-time,0.0,121.33,3500,,
15778,E,Chargedoff,,Full-time,3572.833333,195.9,5000,0.24,
15779,E,Chargedoff,,Full-time,3666.666667,174.19,4500,0.3,
15781,,Completed,4.0,Employed,2655.666667,74.83,2000,0.06,0.0824
15785,,Chargedoff,4.0,Employed,4000.0,87.1,2000,0.15,0.147
15786,B,Completed,,Not available,3750.0,334.47,9000,0.41,
15789,,Completed,2.0,Self-employed,4166.666667,173.71,4000,,0.165
15792,AA,Completed,,Full-time,33333.333332999995,30.56,1000,0.03,
15794,D,Chargedoff,,Full-time,2191.666667,119.26,3000,0.31,
15795,,Completed,1.0,Employed,13000.0,172.56,4000,0.29,0.17
15799,,Completed,7.0,Full-time,1987.5833329999998,76.38,2000,0.33,0.1
15804,A,Completed,,Full-time,4355.666667,166.07,5000,0.1,
15805,,Completed,8.0,Full-time,3750.0,260.02,8000,0.18,0.015
15806,,Completed,9.0,Employed,6333.333333,32.74,1000,0.12,0.035
15807,,Completed,6.0,Employed,8083.333333,326.56,8000,0.15,0.112
15808,,Completed,7.0,Employed,4875.0,292.87,10000,0.21,0.089
15810,,Completed,9.0,Part-time,2500.0,127.57,4000,0.18,0.021
15816,B,Completed,,Full-time,9166.666667,513.89,14000,0.28,
15821,,Completed,7.0,Full-time,5416.666667,101.06,2500,0.23,0.1
15823,D,Completed,,Full-time,5166.666667,236.1,7000,0.19,
15825,,Completed,8.0,Employed,2466.666667,136.52,4000,0.27,0.038
15826,,Completed,9.0,Full-time,4000.0,208.06,6500,0.19,0.015
15827,,Completed,8.0,Full-time,3333.333333,385.74,12000,0.24,0.02
15830,HR,Chargedoff,,Full-time,2250.0,66.04,1460,0.23,
15831,,Completed,8.0,Employed,3333.333333,207.48,8000,0.42,0.0595
15832,D,Completed,,Full-time,3666.666667,174.55,5000,0.31,
15834,,Chargedoff,4.0,Employed,2916.666667,173.71,4000,0.23,0.165
15835,,Completed,3.0,Employed,1365.75,349.51,9000,0.47,0.1025
15837,E,Completed,,Not available,2000.0,40.83,1000,0.25,
15838,,Chargedoff,7.0,Employed,3083.333333,170.65,4500,0.14,0.089
15840,A,Completed,,Full-time,3666.666667,182.68,5500,0.34,
15841,,Completed,7.0,Employed,7083.333333,561.21,15000,0.12,0.089
15843,D,Chargedoff,,Full-time,2916.666667,95.75,2500,0.55,
15844,,Chargedoff,4.0,Self-employed,5416.666667,259.63,6000,,0.147
15849,,Completed,7.0,Employed,3166.666667,334.49,10000,0.5,0.0374
15850,,Chargedoff,7.0,Employed,9500.0,319.51,7827,0.32,0.112
15853,,Completed,9.0,Part-time,1250.0,58.45,1575,,0.065
15857,C,Chargedoff,,Full-time,4166.666667,148.15,4000,0.18,
15861,,Chargedoff,5.0,Self-employed,0.0,400.83,10000,,0.112
15862,,Completed,4.0,Employed,5833.333333,511.32,13000,0.24,0.1075
15863,,Completed,9.0,Employed,20833.333333000002,486.05,15000,0.21,0.026
15866,,Completed,9.0,Full-time,3166.666667,133.95,4200,0.24,0.021
15868,,Completed,7.0,Employed,6666.666667,147.94,3600,0.15,0.108
15869,A,Completed,,Not available,6416.666667,343.72,10000,0.43,
15873,AA,Chargedoff,,Full-time,4629.416667,785.73,24000,0.35,
15875,,Completed,3.0,Employed,6250.0,278.82,3000,0.2,0.1175
15876,,Chargedoff,4.0,Employed,6666.666667,173.71,4000,0.26,0.1625
15877,D,Chargedoff,,Full-time,2426.666667,63.68,1500,0.36,
15878,,Completed,6.0,Employed,3416.666667,327.88,9500,0.32,0.042
15879,,Completed,3.0,Employed,5166.666667,520.46,20000,0.32,0.0799
15882,,Completed,9.0,Employed,4500.0,160.73,5000,0.07,0.0249
15884,D,Chargedoff,,Full-time,2946.666667,86.05,2500,0.41,
15885,,Completed,6.0,Full-time,2500.0,8.83,1000,0.36,0.147
15886,C,Chargedoff,,Full-time,1408.333333,246.56,6500,0.36,
15889,HR,Chargedoff,,Full-time,2916.666667,63.64,1500,0.03,
15890,D,Completed,,Full-time,6000.0,120.13,3500,0.21,
15891,E,Completed,,Full-time,7500.0,152.37,4100,0.19,
15895,,Completed,5.0,Employed,7875.0,161.99,4000,0.26,0.1225
15896,,Completed,10.0,Full-time,6041.666667,91.4,3000,0.15,0.006
15899,,Chargedoff,7.0,Employed,3916.666667,146.43,5000,0.15,0.089
15900,B,Completed,,Full-time,2916.666667,87.46,2500,0.04,
15904,D,Completed,,Not available,1333.333333,70.37,3001,0.09,
15907,D,Completed,,Full-time,1583.333333,198.98,6750,0.23,
15908,,Chargedoff,7.0,Employed,8000.0,513.68,15000,0.22,0.0449
15909,A,Chargedoff,,Full-time,1582.5,67.39,2000,0.16,
15912,B,Completed,,Full-time,12500.0,195.64,5000,0.09,
15913,,Completed,9.0,Full-time,4583.333333,134.1,3200,0.48,0.065
15917,,Completed,5.0,Employed,3333.333333,307.51,10000,0.18,0.1175
15921,A,Completed,,Full-time,3333.333333,597.67,17000,0.32,
15923,E,Chargedoff,,Full-time,3750.0,108.68,2560,0.14,
15927,B,Completed,,Full-time,5000.0,173.33,5000,0.04,
15929,,Completed,4.0,Employed,5333.333333,558.91,15000,0.42,0.0799
15930,,Completed,2.0,Employed,6250.0,173.71,4000,0.41,0.165
15931,B,Completed,,Full-time,2083.333333,59.98,1750,0.27,
15932,,Completed,7.0,Employed,4958.333333,437.46,15000,0.13,0.089
15934,,Completed,8.0,Employed,3750.0,0.0,3000,0.18,0.0595
15936,HR,Completed,,Full-time,2500.0,90.29,1996,0.34,
15937,,Completed,8.0,Full-time,2579.166667,159.46,5000,0.54,0.021
15939,,Completed,5.0,Employed,2250.0,269.21,6000,0.53,0.142
15940,D,Completed,,Not available,5416.666667,34.67,1000,0.58,
15942,,Completed,4.0,Self-employed,2916.666667,173.71,4000,,0.165
15946,A,Completed,,Full-time,18595.75,830.36,25000,0.1,
15951,,Chargedoff,5.0,Employed,4166.666667,173.71,4000,0.34,0.165
15952,D,Completed,,Full-time,2298.416667,109.91,4000,0.32,
15953,,Completed,3.0,Employed,2842.916667,193.48,4500,0.42,0.13
15955,,Completed,10.0,Full-time,4333.333333,62.44,2000,0.37,0.006
15956,,Completed,5.0,Employed,1208.333333,150.0,5000,1.49,0.099
15958,,Completed,8.0,Full-time,903.25,34.67,1000,,0.1
15960,D,Completed,,Full-time,8230.333333,310.23,7500,0.24,
15961,B,Completed,,,6405.083333,137.15,4150,0.06711,
15963,HR,Completed,,Not available,2080.0,106.86,2550,0.17,
15964,,Completed,8.0,Employed,9250.0,384.58,15000,0.15,0.0565
15965,,Completed,6.0,Other,1600.0,282.37,3000,0.26,0.1425
15966,AA,Completed,,Full-time,12833.333333,806.56,25000,0.18,
15969,D,Completed,,Full-time,2500.0,51.49,1500,0.31,
15970,,Completed,2.0,Self-employed,15416.666667,579.63,15000,,0.099
15975,E,Completed,,Full-time,4027.916667,128.62,3001,0.18,
15977,B,Completed,,Not available,7083.333333,98.41,2900,0.21,
15978,C,Chargedoff,,Full-time,1000.0,79.56,2300,0.35,
15981,,Completed,9.0,Full-time,6041.666667,94.42,3000,0.07,0.015
15983,,Completed,6.0,Employed,5666.666667,163.28,4000,0.18,0.112
15987,,Completed,8.0,Employed,6416.666667,173.08,5000,0.38,0.0595
15988,,Completed,5.0,Employed,5916.666667,248.18,7000,0.12,0.0624
15989,,Chargedoff,3.0,Full-time,12083.333333,655.92,14500,,0.18
15991,,Chargedoff,4.0,Other,1333.333333,135.0,3100,0.54,0.147
15993,D,Chargedoff,,Full-time,1833.3333329999998,56.42,2000,0.25,
15994,,Completed,8.0,Full-time,8083.333333,346.65,10000,0.22,0.05
15998,HR,Completed,,Not available,3541.666667,120.79,3000,0.26,
15999,,Completed,7.0,Employed,7500.0,586.25,25000,0.17,0.0524
16000,,Chargedoff,5.0,Employed,4833.333333,112.17,2500,0.06,0.142
16002,,Completed,7.0,Employed,1666.666667,282.0,7000,0.62,0.112
16006,,Completed,1.0,Employed,4916.666667,158.33,3500,0.37,0.366
16008,C,Completed,,Full-time,5000.0,37.2,1000,0.18,
16009,D,Chargedoff,,Full-time,3083.333333,296.49,8000,0.34,
16011,,Completed,2.0,Employed,3333.333333,448.13,15000,0.47,0.085
16015,C,Chargedoff,,Not available,7500.0,180.76,5000,0.1,
16016,,Completed,10.0,Employed,5166.666667,0.0,2000,0.08,0.0224
16017,,Completed,6.0,Employed,3416.666667,0.0,2800,0.03,0.108
16018,D,Completed,,Full-time,500.0,106.94,3000,0.35,
16022,,Completed,8.0,Employed,6066.666667,162.66,4500,0.22,0.0595
16023,D,Chargedoff,,Self-employed,3752.833333,557.45,15000,0.11,
16025,B,Completed,,Full-time,2681.0,239.24,7000,0.36,
16026,A,Completed,,Full-time,5416.666667,224.98,7075,0.19,
16028,,Completed,3.0,Self-employed,3750.0,115.69,3000,,0.0975
16029,,Chargedoff,5.0,Employed,6250.0,111.86,3000,0.14,0.085
16031,,Completed,7.0,Employed,1998.0,33.16,1000,0.24,0.098
16032,B,Completed,,Full-time,5583.333333,549.84,15000,0.23,
16039,B,Completed,,Not available,3500.0,228.71,7000,0.21,
16044,,Completed,10.0,Employed,9000.0,176.48,2000,0.07,0.038
16045,B,Completed,,Not available,7788.0,445.66,12500,0.27,
16046,,Completed,7.0,Employed,8416.666667,467.4,15000,0.26,0.1125
16047,E,Completed,,Not available,2083.333333,59.46,1600,0.19,
16049,HR,Completed,,Not available,3750.0,101.39,2550,0.18,
16053,,Completed,3.0,Employed,833.333333,80.89,2000,0.39,0.1275
16054,,Chargedoff,7.0,Employed,3750.0,367.01,15000,0.49,0.0399
16058,C,Completed,,Full-time,4166.666667,59.04,5000,0.08,
16060,,Completed,8.0,Employed,10416.666667,723.27,22500,0.09,0.0249
16065,A,Chargedoff,,Full-time,3135.25,245.9,7500,0.39,
16068,,Completed,6.0,Employed,8916.666667,1335.96,15000,0.16,0.0574
16070,,Completed,10.0,Employed,19166.666666999998,859.06,10000,0.05,0.0085
16073,,Chargedoff,4.0,Employed,1666.666667,326.62,7500,0.8,0.147
16074,,Chargedoff,7.0,Full-time,583.333333,121.27,3000,,0.1
16075,,Completed,10.0,Employed,7833.333333,0.0,3000,0.1,0.0124
16080,,Chargedoff,4.0,Employed,4000.0,351.62,13000,0.14,0.0749
16081,,Completed,2.0,Employed,10416.666667,267.3,7000,0.18,0.0925
16082,,Completed,9.0,Self-employed,3750.0,159.46,5000,,0.021
16084,E,Completed,,Not available,4500.0,248.24,6500,0.18,
16086,,Completed,7.0,Full-time,3416.666667,659.04,20000,0.22,0.015
16088,,Completed,9.0,Employed,3681.333333,230.5,7000,0.22,0.038
16091,A,Completed,,Full-time,7791.666667,210.5,6500,0.32,
16092,,Completed,8.0,Other,6666.666667,176.3,5000,0.21,0.0595
16095,HR,Chargedoff,,Full-time,3750.0,45.24,1000,7.9,
16097,,Completed,4.0,Employed,10625.0,529.61,14500,0.37,0.065
16098,,Completed,3.0,Employed,4166.666667,378.67,14000,0.24,0.0749
16099,,Completed,6.0,Full-time,1500.0,0.0,3200,0.71,0.14
16100,,Chargedoff,8.0,Employed,7083.333333,248.17,2700,0.04,0.087
16104,AA,Completed,,Full-time,3600.5,760.77,23000,0.31,
16105,,Completed,5.0,Employed,2140.0,150.0,5000,0.33,0.099
16106,,Chargedoff,7.0,Employed,3000.0,120.33,3000,0.13,0.1175
16107,B,Completed,,Full-time,2000.0,131.05,4000,0.15,
16109,B,Completed,,Full-time,2916.666667,101.52,3000,0.08,
16114,A,Completed,,Not employed,0.0,162.75,4900,,
16117,,Completed,8.0,Full-time,13866.666667,192.59,6000,0.13,0.02
16118,AA,Completed,,Full-time,4036.166667,166.07,5000,,
16119,,Completed,5.0,Employed,4083.333333,184.27,5000,,0.0749
16120,A,Completed,,Full-time,2750.0,162.04,5000,0.06,
16123,C,Chargedoff,,Retired,3166.666667,371.64,10000,0.14,
16125,C,Completed,,Not available,4166.666667,137.88,4000,0.17,
16126,,Chargedoff,8.0,Employed,4333.333333,222.95,6000,0.06,0.087
16127,AA,Completed,,Full-time,12500.0,60.95,2000,0.03,
16129,AA,Completed,,Full-time,9887.916667,78.04,2500,0.1,
16130,AA,Completed,,Full-time,5100.0,156.66,5000,0.05,
16132,D,Completed,,Full-time,3583.333333,560.82,15000,0.37,
16135,AA,Completed,,Retired,984.0,132.72,4000,0.6,
16139,D,Completed,,Self-employed,1276.25,311.77,8000,0.52,
16140,C,Completed,,Self-employed,5250.0,177.29,5000,,
16148,,Completed,7.0,Full-time,1500.0,146.6,4000,0.25,0.061
16149,,Completed,8.0,Full-time,5833.333333,37.34,1000,0.07,0.08
16150,,Completed,3.0,Self-employed,5666.666667,318.94,10000,,0.1475
16152,C,Completed,,Full-time,5500.0,103.26,3000,0.39,
16156,,Completed,10.0,Full-time,2750.0,31.31,1000,0.05,0.006
16162,B,Completed,,Full-time,7916.666667,95.64,3000,0.23,
16164,,Completed,10.0,Employed,10000.0,122.58,4000,0.1,0.0075
16168,,Completed,5.0,Employed,1916.6666670000002,130.65,3000,0.38,0.147
16169,,Chargedoff,7.0,Employed,708.333333,70.3,2000,,0.0595
16173,,Completed,8.0,Employed,10000.0,319.12,10000,0.22,0.0224
16175,,Completed,8.0,Employed,5666.666667,176.3,5000,0.18,0.0595
16178,E,Chargedoff,,Full-time,4291.666667,37.21,1000,0.1,
16182,A,Completed,,Part-time,1833.3333329999998,163.46,5000,0.17,
16184,AA,Completed,,Not available,1000.0,68.69,2200,0.48,
16186,B,Chargedoff,,Full-time,14583.333333,268.52,7500,0.09,
16192,,Completed,6.0,Full-time,9203.416667,137.66,4000,0.29,0.042
16193,,Completed,8.0,Full-time,2044.0,0.0,2000,0.26,0.0495
16196,,Completed,8.0,Full-time,6631.416667,216.16,6000,0.12,0.08
16204,HR,Completed,,Full-time,5000.0,73.72,2551,0.2,
16209,HR,Completed,,Full-time,1783.3333329999998,32.74,1000,0.26,
16210,C,Chargedoff,,Full-time,2850.833333,356.89,9000,0.28,
16212,,Completed,9.0,Full-time,6000.0,111.63,3500,0.25,0.021
16216,E,Completed,,Full-time,4000.0,98.62,2600,0.1,
16217,,Completed,8.0,Employed,5666.666667,222.85,10000,0.42,0.0174
16218,,Chargedoff,8.0,Retired,1328.333333,38.21,1100,0.24,0.0595
16219,B,Completed,,Full-time,2080.0,170.28,5000,0.22,
16220,AA,Completed,,Part-time,850.0,81.85,2500,0.33,
16222,C,Chargedoff,,Not available,2750.0,203.03,6000,0.25,
16223,,Chargedoff,6.0,Full-time,2500.0,121.27,3000,,0.1
16228,E,Completed,,Not available,2123.333333,0.0,1250,0.35,
16229,,Chargedoff,8.0,Full-time,3333.333333,174.28,4300,0.09,0.1
16230,A,Completed,,Retired,0.0,89.89,2800,,
16232,,Completed,,Full-time,3833.333333,138.47,4000,0.18,
16233,,Completed,3.0,Self-employed,4000.0,174.2,4000,,0.165
16235,,Chargedoff,5.0,Full-time,2333.333333,172.56,4000,0.32,0.183
16237,D,Chargedoff,,Not available,5833.333333,464.54,12500,0.24,
16239,E,Completed,,Not available,3250.0,107.55,2600,0.59,
16245,D,Completed,,,5708.333333,271.14,7500,0.2,
16247,D,Completed,,Full-time,11250.0,41.36,1000,0.03,
16248,HR,Chargedoff,,Full-time,1916.6666670000002,96.94,2501,0.32,
16251,HR,Completed,,Full-time,3333.333333,37.16,1000,0.06,
16252,B,Chargedoff,,Full-time,3659.916667,203.61,6000,0.06,
16256,,Completed,8.0,Full-time,2916.666667,133.49,4000,0.05,0.05
16260,,Completed,6.0,Other,5833.333333,262.26,3000,0.24,0.041
16264,D,Completed,,Full-time,3333.333333,126.87,3500,0.09,
16268,,Completed,6.0,Employed,4000.0,167.82,4000,0.68,0.1425
16271,E,Chargedoff,,Full-time,2583.333333,119.32,3001,0.41,
16272,,Completed,6.0,Full-time,2166.666667,223.78,5000,0.27,0.14
16273,C,Completed,,Full-time,5000.0,342.33,10000,0.07,
16274,E,Completed,,Full-time,6250.0,144.77,3500,0.3,
16277,,Completed,7.0,Employed,2500.0,188.35,5000,0.28,0.0849
16279,,Chargedoff,1.0,Self-employed,5000.0,169.78,4000,,0.149
16280,C,Completed,,Full-time,3809.583333,538.53,15000,0.37,
16281,,Chargedoff,6.0,Full-time,4916.666667,172.0,4000,0.33,0.14
16283,,Completed,7.0,Employed,8333.333333,90.41,2400,0.22,0.0849
16288,B,Completed,,Full-time,2833.333333,150.89,4000,0.28,
16289,,Completed,10.0,Employed,2916.666667,187.6,6000,0.09,0.013
16292,AA,Completed,,Full-time,21750.0,30.65,1000,0.01,
16294,B,Completed,,Retired,1808.0,213.95,6001,0.35,
16295,HR,Chargedoff,,Full-time,2500.0,89.34,2000,0.04,
16297,,Completed,9.0,Full-time,3333.333333,113.16,3548,0.24,0.021
16299,,Completed,2.0,Employed,3005.416667,94.95,2500,,0.0899
16300,E,Chargedoff,,Full-time,1733.3333329999998,124.13,3001,0.25,
16303,,Completed,7.0,Full-time,6014.666667,200.52,5000,0.33,0.1
16304,AA,Completed,,Full-time,4166.666667,30.2,1000,0.02,
16306,,Completed,6.0,Employed,8750.0,238.25,8000,0.2,0.0925
16307,,Completed,10.0,Other,5916.666667,674.18,22000,0.14,0.01
16315,,Chargedoff,5.0,Employed,2583.333333,174.2,4000,0.08,0.183
16319,,Completed,8.0,Employed,8333.333333,415.4,12000,0.11,0.0595
16320,,Chargedoff,5.0,Employed,3333.333333,360.0,12000,0.34,0.099
16321,,Chargedoff,4.0,Employed,8416.666667,86.54,2000,0.36,0.147
16323,,Completed,9.0,Full-time,5500.0,329.05,10000,0.22,0.021
16325,A,Completed,,Full-time,4833.333333,453.95,20000,0.32,
16327,,Completed,1.0,Employed,7083.333333,173.33,4000,0.08,0.149
16329,D,Completed,,Not available,3750.0,105.99,2800,0.2,
16331,,Completed,8.0,Full-time,5000.0,583.77,18000,0.24,0.021
16334,B,Completed,,Full-time,0.0,102.82,3000,,
16337,,Chargedoff,6.0,Self-employed,2916.666667,262.48,9000,,0.089
16338,HR,Completed,,Full-time,2000.0,63.67,1500,0.04,
16340,HR,Chargedoff,,Full-time,2704.333333,125.76,3001,0.2,
16341,C,Completed,,Not available,2500.0,99.64,3000,0.07,
16342,A,Completed,,Not available,7748.333333,108.04,3300,0.25,
16348,,Chargedoff,4.0,Employed,2500.0,217.74,5000,0.29,0.147
16351,,Chargedoff,4.0,Employed,833.333333,173.71,4000,1.12,0.165
16358,C,Completed,,Full-time,5683.333333,215.89,6500,0.12,
16359,A,Completed,,Retired,6000.0,144.41,4000,0.12,
16362,,Completed,4.0,Employed,5416.666667,173.71,4000,0.3,0.165
16364,AA,Completed,,Full-time,5000.0,124.04,4000,0.17,
16369,B,Completed,,Full-time,3500.0,99.64,3000,0.28,
16372,E,Completed,,,13750.0,309.68,8000,0.22,
16374,C,Completed,,Full-time,6000.0,281.8,9999,0.17,
16377,,Completed,6.0,Employed,4166.666667,31.78,1000,0.34,0.087
16380,D,Chargedoff,,Full-time,1250.0,125.55,3200,0.6,
16382,AA,Completed,,Full-time,7083.333333,30.76,1000,0.02,
16383,C,Completed,,Full-time,1166.666667,89.13,2500,0.71,
16388,,Completed,8.0,Employed,11250.0,322.51,7500,0.12,0.108
16389,HR,Completed,,Full-time,2916.666667,40.02,1000,0.3,
16391,E,Chargedoff,,Full-time,0.0,106.15,2600,,
16392,A,Completed,,,3750.0,63.37,2000,0.0241,
16395,,Completed,3.0,Self-employed,1333.333333,165.02,3800,,0.165
16398,AA,Completed,,Full-time,4666.666667,30.88,1000,0.2,
16399,,Completed,6.0,Employed,2041.6666670000002,120.86,3000,0.23,0.112
16403,D,Completed,,Full-time,3475.333333,313.73,8500,0.53,
16405,,Completed,3.0,Employed,1916.6666670000002,96.41,2500,0.19,0.0975
16406,AA,Completed,,Full-time,5568.083333,219.32,7000,0.07,
16408,,Chargedoff,7.0,Employed,3083.333333,287.56,10000,0.17,0.0849
16410,,Completed,9.0,Full-time,5416.666667,191.36,6000,0.47,0.021
16413,C,Completed,,,4583.333333,360.31,11000,0.13,
16418,,Completed,9.0,Full-time,4147.5,97.3,3000,0.27,0.021
16420,,Completed,8.0,Employed,8333.333333,206.5,6000,0.14,0.0595
16422,C,Chargedoff,,Full-time,3833.333333,90.47,2000,0.17,
16425,,Completed,7.0,Employed,3500.0,184.58,4900,0.14,0.0849
16426,,Completed,6.0,Employed,4308.333333,236.54,10000,0.18,0.0449
16427,B,Completed,,Self-employed,4000.0,440.8,11000,,
16428,C,Completed,,Full-time,2804.916667,152.71,4500,0.57,
16429,C,Completed,,Full-time,2500.0,0.0,1500,0.25,
16430,C,Completed,,Full-time,2166.666667,279.38,7500,0.35,
16431,,Completed,8.0,Employed,3109.583333,137.66,4000,0.14,0.0595
16435,C,Completed,,Full-time,8500.0,442.94,12000,0.2,
16436,C,Chargedoff,,Not available,6250.0,192.01,5500,0.21,
16438,,Completed,2.0,Employed,6750.0,174.2,4000,0.13,0.165
16439,,Chargedoff,6.0,Employed,4166.666667,237.6,2500,0.26,0.107
16443,HR,Chargedoff,,,1600.0,106.86,2550,0.1,
16444,,Completed,4.0,Employed,4199.416667,173.72,6000,0.1,0.0975
16448,,Completed,4.0,Employed,2750.0,248.2,6500,0.26,0.0925
16449,,Completed,5.0,Full-time,4741.666667,93.86,2075,0.08,0.19
16450,,Completed,3.0,Employed,9086.75,85.99,2000,0.23,0.13
16455,HR,Chargedoff,,Full-time,2918.916667,104.81,3000,0.12,
16456,,Completed,9.0,Employed,5000.0,445.7,20000,0.19,0.0174
16458,A,Chargedoff,,Full-time,5083.333333,327.39,10000,0.07,
16460,B,Chargedoff,,Self-employed,0.0,507.89,14000,,
16464,,Completed,6.0,Employed,4833.333333,583.78,15000,0.36,0.087
16465,AA,Completed,,Full-time,3333.333333,61.3,2000,0.06,
16466,,Completed,5.0,Employed,2916.666667,130.65,3000,0.52,0.147
16467,C,Completed,,Full-time,2521.25,184.46,5000,0.28,
16468,,Completed,8.0,Employed,3833.333333,198.81,5500,0.14,0.0595
16469,,Completed,6.0,Employed,5541.666667,126.67,3000,0.11,0.147
16470,,Completed,4.0,Other,1916.6666670000002,173.71,4000,0.43,0.165
16471,,Completed,9.0,Full-time,4083.333333,54.79,1500,0.2,0.065
16475,D,Completed,,Full-time,7466.666667,315.28,8900,0.24,
16477,C,Completed,,Full-time,1250.0,458.2,12500,1.02,
16481,D,Completed,,,3166.666667,399.36,10600,0.34,
16483,,Completed,7.0,Employed,3333.333333,74.83,2000,0.3,0.089
16485,,Completed,7.0,Full-time,3693.916667,109.14,2700,0.14,0.1
16492,C,Completed,,Full-time,2250.0,36.15,1000,0.18,
16494,C,Completed,,Full-time,3000.0,126.03,3535,0.29,
16502,,Completed,8.0,Full-time,9341.666667,289.58,7900,0.11,0.05
16503,,Completed,8.0,Employed,2500.0,65.98,2000,0.06,0.0324
16504,C,Chargedoff,,Part-time,489.75,64.96,2000,0.4,
16505,,Chargedoff,8.0,Employed,1916.6666670000002,90.37,2500,0.18,0.0595
16506,,Completed,5.0,Employed,6250.0,129.42,3000,0.18,0.183
16508,,Completed,7.0,Employed,2458.333333,82.19,2000,0.17,0.108
16509,A,Completed,,Full-time,3333.333333,343.24,10000,0.17,
16514,,Completed,8.0,Employed,3750.0,192.47,8000,0.17,0.033
16516,,Completed,10.0,Full-time,4166.666667,34.12,1000,0.21,0.065
16517,,Completed,8.0,Employed,5764.833333,278.69,7500,0.13,0.087
16520,,Completed,10.0,Employed,10833.333333,329.28,10000,0.04,0.038
16521,,Chargedoff,5.0,Employed,1666.666667,397.55,10000,0.67,0.119
16524,,Completed,2.0,Employed,6500.0,168.17,4000,0.2,0.1475
16530,D,Completed,,Full-time,3983.333333,95.06,2250,0.09,
16536,A,Completed,,Full-time,3750.0,339.75,9900,0.17,
16537,AA,Completed,,Full-time,7301.666667,487.54,15000,0.13,
16541,,Completed,3.0,Employed,5250.0,146.6,4000,0.13,0.0724
16546,,Chargedoff,4.0,Not employed,0.0,324.54,7500,,0.147
16547,E,Chargedoff,,,5190.833333,95.48,2500,0.22,
16548,,Completed,4.0,Full-time,6000.0,300.97,7000,0.3,0.13
16553,A,Chargedoff,,Full-time,5786.583333,485.31,14000,0.21,
16558,B,Completed,,Full-time,3808.333333,370.63,11000,0.3,
16563,,Completed,5.0,Other,4583.333333,123.69,3000,0.44,0.098
16566,D,Chargedoff,,Full-time,4166.666667,180.14,5000,0.16,
16567,C,Completed,,Full-time,2333.333333,48.93,1500,0.28,
16570,,Chargedoff,5.0,Employed,4500.0,173.71,4000,0.04,0.165
16571,,Completed,7.0,Employed,5666.666667,364.55,12500,0.11,0.089
16572,,Completed,8.0,Employed,3250.0,178.44,2000,0.13,0.0599
16573,,Completed,9.0,Employed,4750.0,645.25,20000,0.22,0.038
16575,E,Completed,,Not available,1433.333333,79.62,1900,0.29,
16578,AA,Completed,,Full-time,12083.333333,477.0,15000,0.09,
